CodeA,CodeVR,DateV,DureeVol,NbrPassagersEco,NbrPassagersAffaire,NbrPassagersPremiere,ChargeKerosene,ChargeTotale
AC6001,AC500,2024-01-27,6.52,77,14,6,17.26,14.74
DL2002,DL101,2024-01-27,9.75,138,25,10,37.36,25.28
LH4001,LH300,2024-01-27,1.76,396,74,26,6.58,50.9
AF1001,AF180,2024-01-28,10.06,82,15,6,36.42,1.0
BA5001,BA400,2024-01-28,8.52,112,21,8,27.48,23.45
AC6001,AC500,2024-01-29,6.87,61,11,5,26.8,5.2
BA5001,BA400,2024-01-29,3.59,100,18,8,12.66,18.69
DL2002,DL100,2024-01-29,1.54,105,19,8,4.55,17.92
IB3001,IB200,2024-01-29,5.11,82,15,6,14.08,13.7
AC6001,AC500,2024-01-30,1.07,82,15,6,3.5,18.72
AF1001,AF181,2024-01-30,11.99,89,16,7,44.03,1.0
AF1001,AF182,2024-01-31,8.07,63,11,5,26.97,3.43
AF1004,AF180,2024-01-31,4.67,144,27,9,16.13,21.69
DL2002,DL101,2024-01-31,6.58,96,18,6,19.47,17.59
JL7001,JL600,2024-01-31,8.53,160,30,11,30.19,24.77
AC6001,AC500,2024-02-01,11.4,68,12,6,40.61,1.0
AF1003,AF182,2024-02-01,3.54,172,32,11,11.03,31.14
DL2001,DL100,2024-02-01,5.81,128,24,9,17.0,24.92
JL7001,JL600,2024-02-01,8.16,115,21,8,25.89,19.1
LH4001,LH300,2024-02-01,7.72,362,67,24,21.89,47.42
BA5001,BA400,2024-02-02,5.99,132,24,9,21.87,19.64
JL7001,JL600,2024-02-02,5.44,143,26,10,14.52,27.59
LH4001,LH301,2024-02-02,4.81,306,57,20,12.3,43.71
AF1004,AF180,2024-02-03,8.18,157,29,11,27.39,13.61
AF1002,AF182,2024-02-04,9.14,168,31,11,28.55,25.96
AF1004,AF181,2024-02-04,5.07,104,19,8,17.49,15.68
AF1003,AF182,2024-02-05,5.25,140,26,9,17.83,26.8
BA5001,BA400,2024-02-05,3.73,192,36,13,9.83,33.44
DL2001,DL100,2024-02-05,3.72,188,35,13,10.64,33.23
AF1003,AF182,2024-02-06,10.22,204,38,14,26.38,31.4
AF1004,AF181,2024-02-06,9.66,113,21,8,35.62,5.38
DL2001,DL100,2024-02-06,4.59,195,36,13,13.52,32.54
AF1001,AF182,2024-02-07,7.27,83,15,6,21.36,9.04
AF1004,AF181,2024-02-07,9.54,145,27,10,29.39,11.61
JL7001,JL600,2024-02-07,9.84,120,22,9,29.99,23.67
BA5001,BA400,2024-02-08,7.33,108,20,7,27.74,15.94
DL2001,DL101,2024-02-08,5.56,132,24,9,13.96,24.61
LH4001,LH300,2024-02-08,4.49,225,42,15,15.89,34.81
AC6001,AC500,2024-02-09,2.51,55,10,4,6.9,12.14
IB3001,IB200,2024-02-09,7.7,156,29,11,21.27,19.73
LH4001,LH300,2024-02-09,1.53,251,47,16,5.38,37.37
AC6001,AC500,2024-02-10,6.18,88,16,7,17.82,13.4
AF1004,AF180,2024-02-10,6.0,114,21,8,19.36,18.34
DL2002,DL101,2024-02-10,4.58,147,27,10,16.17,28.07
IB3001,IB200,2024-02-10,10.83,97,18,7,28.21,12.79
BA5001,BA400,2024-02-11,4.47,189,35,13,12.22,27.48
DL2001,DL101,2024-02-11,5.92,194,36,13,18.55,25.31
DL2002,DL101,2024-02-11,5.92,152,28,10,21.09,25.68
IB3001,IB200,2024-02-11,4.86,105,19,8,16.23,18.01
AC6001,AC500,2024-02-12,1.01,59,11,4,2.58,14.47
AF1004,AF181,2024-02-12,6.34,104,19,8,25.31,15.69
DL2002,DL100,2024-02-12,9.51,100,18,8,26.18,19.76
IB3001,IB201,2024-02-12,7.47,114,21,8,28.63,12.37
JL7001,JL600,2024-02-12,5.66,109,20,8,18.49,18.69
BA5001,BA400,2024-02-13,9.12,164,30,12,28.13,30.03
DL2001,DL101,2024-02-13,6.4,134,25,9,20.97,21.44
JL7001,JL600,2024-02-13,11.9,186,34,13,31.98,27.46
LH4001,LH300,2024-02-13,11.63,381,71,25,29.31,52.24
AC6001,AC500,2024-02-14,5.58,63,11,5,15.6,16.4
AF1001,AF182,2024-02-14,11.74,63,11,5,31.46,1.0
AF1003,AF181,2024-02-14,4.39,233,43,16,16.6,32.59
DL2001,DL101,2024-02-14,2.73,162,30,11,8.5,27.42
DL2002,DL100,2024-02-14,9.04,116,21,9,33.09,24.15
JL7001,JL600,2024-02-14,7.54,164,30,11,25.59,21.57
AF1002,AF182,2024-02-15,4.52,202,37,14,17.03,31.5
DL2001,DL100,2024-02-15,5.36,108,20,8,16.2,22.88
DL2002,DL100,2024-02-15,9.81,123,23,8,31.92,25.21
LH4001,LH301,2024-02-15,1.31,208,39,14,3.95,27.54
AC6001,AC500,2024-02-16,5.56,89,16,7,17.93,14.07
AF1004,AF180,2024-02-16,2.27,158,29,11,6.05,26.45
IB3001,IB201,2024-02-16,4.1,124,23,9,16.26,17.29
JL7001,JL600,2024-02-16,4.37,164,30,12,13.96,25.45
AF1003,AF182,2024-02-17,7.5,160,30,10,26.16,25.32
BA5001,BA400,2024-02-17,2.34,111,20,8,7.26,15.17
DL2001,DL100,2024-02-17,9.34,138,25,10,25.51,24.4
LH4001,LH300,2024-02-17,6.54,337,63,22,22.38,45.5
AC6001,AC500,2024-02-18,4.97,57,10,5,14.19,11.21
AF1003,AF181,2024-02-19,11.35,144,27,10,35.96,19.35
AF1004,AF180,2024-02-19,5.63,148,27,11,14.22,22.75
DL2001,DL101,2024-02-19,9.64,150,28,10,27.44,28.69
JL7001,JL600,2024-02-19,4.19,98,18,7,16.73,14.6
DL2002,DL100,2024-02-20,7.78,111,20,8,27.84,18.42
AC6001,AC500,2024-02-21,7.08,65,12,5,21.31,10.72
DL2002,DL100,2024-02-21,7.3,86,16,6,28.92,13.8
JL7001,JL600,2024-02-21,2.83,176,33,11,9.6,24.38
AF1002,AF182,2024-02-22,9.01,161,30,11,26.27,27.01
AF1003,AF180,2024-02-22,6.94,234,43,16,24.94,31.61
AF1004,AF181,2024-02-22,5.42,141,26,10,19.6,18.97
AF1001,AF182,2024-02-23,3.61,76,14,5,13.16,17.24
AF1004,AF181,2024-02-23,3.38,124,23,9,8.77,20.76
BA5001,BA400,2024-02-23,11.89,120,22,9,31.67,17.77
IB3001,IB200,2024-02-23,3.95,129,24,9,15.64,22.68
AC6001,AC500,2024-02-24,10.83,83,15,6,36.31,1.0
AF1002,AF181,2024-02-24,3.57,187,35,12,9.79,31.77
AF1004,AF180,2024-02-24,5.57,140,26,9,14.16,18.63
AF1001,AF180,2024-02-25,11.93,67,12,5,41.38,1.0
AF1004,AF182,2024-02-25,8.6,115,21,8,30.21,10.79
AF1003,AF182,2024-02-26,8.4,196,36,14,24.51,27.7
DL2002,DL100,2024-02-26,10.68,159,29,11,39.6,21.5
IB3001,IB201,2024-02-26,8.23,112,21,7,28.5,12.5
JL7001,JL600,2024-02-26,8.69,150,28,10,27.78,26.54
AF1001,AF180,2024-02-27,4.93,96,18,6,12.45,15.56
AF1003,AF181,2024-02-27,5.13,232,43,15,20.43,37.51
DL2002,DL100,2024-02-27,7.42,135,25,9,21.09,19.39
AF1001,AF180,2024-02-28,3.99,77,14,6,10.55,13.69
AF1002,AF180,2024-02-28,7.83,143,26,10,28.62,19.81
BA5001,BA400,2024-02-28,8.67,141,26,10,33.5,24.42
AF1003,AF180,2024-02-29,9.04,185,34,13,23.74,24.65
AF1004,AF182,2024-02-29,8.92,104,19,7,31.74,9.26
DL2002,DL100,2024-02-29,3.45,120,22,9,11.37,21.71
AF1003,AF182,2024-03-01,2.71,152,28,10,7.68,24.4
AF1004,AF180,2024-03-01,1.61,105,19,8,5.94,14.53
LH4001,LH300,2024-03-01,9.96,244,45,17,29.07,36.6
AC6001,AC500,2024-03-02,8.19,53,10,4,21.45,8.65
AF1001,AF182,2024-03-02,6.97,84,15,7,22.18,8.22
AF1002,AF182,2024-03-02,9.46,257,48,17,33.13,38.59
BA5001,BA400,2024-03-02,5.19,156,29,11,19.84,26.44
DL2002,DL100,2024-03-02,10.36,107,20,7,32.48,14.85
AF1001,AF180,2024-03-03,5.06,94,17,7,13.39,17.01
AF1004,AF182,2024-03-03,3.86,98,18,7,13.24,18.51
DL2001,DL100,2024-03-03,4.2,160,30,11,13.85,28.07
DL2002,DL101,2024-03-03,1.84,98,18,7,6.0,16.52
AC6001,AC500,2024-03-04,6.99,77,14,6,18.53,13.01
DL2001,DL100,2024-03-04,7.09,156,29,10,17.86,27.65
IB3001,IB200,2024-03-04,8.0,149,28,10,21.3,19.7
AC6001,AC500,2024-03-05,2.91,89,16,7,10.27,13.38
AF1004,AF182,2024-03-05,6.48,114,21,8,23.31,17.15
DL2002,DL101,2024-03-05,1.33,102,19,7,4.6,21.45
LH4001,LH300,2024-03-05,1.18,316,59,20,3.08,42.8
AC6001,AC500,2024-03-06,1.89,95,17,7,4.88,21.32
AF1001,AF181,2024-03-06,9.78,115,21,8,38.38,1.0
AF1003,AF180,2024-03-06,7.43,159,29,11,23.25,23.83
BA5001,BA400,2024-03-06,10.43,144,27,9,39.0,19.61
DL2002,DL100,2024-03-06,9.16,161,30,11,26.11,26.0
IB3001,IB201,2024-03-06,7.77,114,21,8,24.56,16.5
AC6001,AC500,2024-03-07,8.4,88,16,7,26.45,5.55
AF1002,AF182,2024-03-07,5.5,142,26,10,21.19,22.86
DL2001,DL101,2024-03-07,5.13,150,28,10,16.78,25.91
AF1004,AF180,2024-03-08,9.91,113,21,8,39.31,1.69
DL2001,DL100,2024-03-08,8.74,155,29,10,28.5,21.9
LH4001,LH301,2024-03-08,2.94,233,43,16,7.99,34.67
AC6001,AC500,2024-03-09,6.73,76,14,6,26.47,5.53
AF1004,AF181,2024-03-09,3.94,116,21,9,11.21,19.83
DL2002,DL100,2024-03-09,5.53,144,27,9,20.71,27.96
JL7001,JL600,2024-03-09,7.72,140,26,9,28.59,20.39
LH4001,LH301,2024-03-09,10.78,300,56,20,29.49,38.97
AC6001,AC500,2024-03-10,6.22,67,12,5,17.23,14.77
AF1004,AF181,2024-03-10,8.18,144,27,9,25.61,15.39
DL2001,DL101,2024-03-10,11.1,100,18,8,30.61,15.46
DL2002,DL101,2024-03-10,1.32,89,16,7,4.03,16.86
IB3001,IB201,2024-03-10,4.46,132,24,10,11.27,17.84
JL7001,JL600,2024-03-10,2.03,105,19,8,7.47,20.44
AC6001,AC500,2024-03-11,7.71,52,9,4,20.47,11.53
AF1001,AF181,2024-03-11,2.21,82,15,6,7.15,19.94
BA5001,BA400,2024-03-11,5.48,170,31,12,16.47,28.45
IB3001,IB201,2024-03-11,1.28,84,15,6,4.89,18.54
LH4001,LH300,2024-03-11,5.66,393,73,26,14.59,52.93
AF1001,AF181,2024-03-12,9.22,113,21,8,33.98,1.0
AF1003,AF182,2024-03-12,3.53,191,35,13,10.52,29.62
DL2002,DL100,2024-03-12,11.84,92,17,6,30.64,20.93
AF1002,AF182,2024-03-13,7.89,209,39,14,29.25,34.89
AF1003,AF180,2024-03-13,9.34,136,25,9,30.01,22.15
AF1004,AF180,2024-03-13,4.69,110,20,8,18.05,22.95
DL2001,DL100,2024-03-13,2.75,105,19,8,8.38,22.11
JL7001,JL600,2024-03-13,6.84,141,26,10,19.9,21.37
DL2001,DL101,2024-03-14,1.19,172,32,11,4.29,30.63
AF1002,AF182,2024-03-15,6.54,189,35,13,19.19,28.83
IB3001,IB201,2024-03-15,3.04,94,17,7,8.51,21.74
AF1004,AF180,2024-03-16,11.93,145,27,10,46.61,1.0
AF1003,AF180,2024-03-17,2.28,182,34,12,7.12,28.67
DL2002,DL101,2024-03-17,8.7,128,24,8,34.41,19.89
IB3001,IB201,2024-03-18,4.53,144,27,10,12.49,20.66
LH4001,LH301,2024-03-18,10.92,264,49,17,33.31,35.07
AC6001,AC500,2024-03-19,10.29,56,10,5,35.09,1.0
AF1002,AF182,2024-03-19,8.29,181,34,12,27.08,28.56
IB3001,IB200,2024-03-19,11.4,95,17,7,36.09,4.91
AF1001,AF181,2024-03-20,10.54,69,13,5,28.25,2.15
AF1001,AF180,2024-03-21,1.36,84,15,7,4.68,14.68
AF1003,AF180,2024-03-21,11.34,179,33,12,44.39,28.34
DL2001,DL100,2024-03-21,6.04,119,22,8,20.43,17.23
LH4001,LH301,2024-03-21,1.61,279,52,18,6.43,38.73
DL2002,DL101,2024-03-22,1.98,145,27,10,6.82,25.01
AC6001,AC500,2024-03-23,4.88,52,9,4,15.99,12.28
DL2002,DL101,2024-03-23,6.19,161,30,11,19.84,28.17
JL7001,JL600,2024-03-23,2.94,187,35,12,10.66,27.82
AF1001,AF181,2024-03-24,4.59,73,13,6,14.09,16.31
IB3001,IB200,2024-03-24,5.84,96,18,7,20.38,18.19
AF1001,AF182,2024-03-25,1.95,115,21,8,5.1,23.33
IB3001,IB200,2024-03-25,4.83,140,26,9,14.74,23.33
JL7001,JL600,2024-03-25,10.24,159,29,11,36.38,24.34
AF1001,AF180,2024-03-26,9.74,76,14,6,36.21,1.0
AF1002,AF180,2024-03-26,2.97,180,33,12,9.71,26.08
AF1004,AF182,2024-03-26,6.07,112,21,8,23.54,17.46
LH4001,LH300,2024-03-26,7.27,343,64,22,22.62,52.73
DL2001,DL101,2024-03-27,9.64,176,33,11,25.67,27.24
IB3001,IB201,2024-03-27,1.84,116,21,8,5.2,17.4
AF1003,AF182,2024-03-28,3.96,168,31,11,15.01,28.2
DL2001,DL100,2024-03-28,5.01,167,31,11,16.28,28.94
LH4001,LH300,2024-03-28,4.23,269,50,18,13.47,38.23
IB3001,IB200,2024-03-29,6.66,102,19,7,17.31,22.45
AF1003,AF180,2024-03-30,3.58,236,44,16,12.34,39.37
IB3001,IB201,2024-03-30,3.46,155,29,10,11.39,25.4
LH4001,LH300,2024-03-30,6.45,380,71,25,17.4,51.22
BA5001,BA400,2024-03-31,9.33,128,24,8,34.95,20.11
DL2001,DL100,2024-03-31,7.33,121,22,9,22.97,24.37
JL7001,JL600,2024-03-31,3.48,156,29,11,9.64,29.19
AF1002,AF181,2024-04-01,3.0,157,29,11,9.73,23.17
AF1003,AF181,2024-04-01,6.43,167,31,11,19.73,24.42
AF1004,AF180,2024-04-01,8.07,98,18,7,26.17,14.92
DL2002,DL100,2024-04-01,7.83,117,22,8,27.38,18.93
JL7001,JL600,2024-04-01,4.64,168,31,12,14.2,26.07
AF1002,AF182,2024-04-02,11.83,198,37,13,31.97,26.55
LH4001,LH300,2024-04-02,10.32,324,60,22,40.27,46.64
AF1002,AF182,2024-04-03,4.6,212,39,14,11.81,33.97
BA5001,BA400,2024-04-03,3.98,123,23,8,15.48,24.75
DL2001,DL100,2024-04-03,11.1,188,35,12,36.93,28.68
IB3001,IB200,2024-04-03,7.74,114,21,8,28.79,12.21
BA5001,BA400,2024-04-04,4.29,184,34,12,16.2,26.34
JL7001,JL600,2024-04-04,2.09,115,21,8,7.17,20.82
AF1002,AF180,2024-04-05,7.79,202,37,14,22.72,29.6
AF1003,AF181,2024-04-05,7.83,124,23,8,20.35,23.39
AC6001,AC500,2024-04-06,3.79,77,14,6,11.32,13.09
AF1001,AF180,2024-04-06,11.84,85,16,6,37.67,1.0
DL2002,DL100,2024-04-06,4.89,106,19,8,13.59,17.42
IB3001,IB201,2024-04-06,2.74,150,28,10,7.47,20.59
JL7001,JL600,2024-04-06,5.61,159,29,11,17.38,26.99
AF1003,AF181,2024-04-07,8.46,139,26,9,23.78,23.41
AF1004,AF182,2024-04-07,9.81,148,27,10,28.66,12.34
IB3001,IB200,2024-04-07,3.26,108,20,7,10.36,15.99
AF1001,AF181,2024-04-08,1.05,96,18,6,2.98,13.89
AF1002,AF181,2024-04-08,3.76,248,46,17,10.58,36.21
BA5001,BA400,2024-04-08,3.48,156,29,11,12.31,23.74
DL2001,DL100,2024-04-08,2.28,135,25,9,6.05,26.29
DL2002,DL100,2024-04-08,6.21,161,30,11,24.16,22.69
LH4001,LH300,2024-04-08,2.18,233,43,16,8.2,38.35
DL2002,DL101,2024-04-09,5.52,164,30,11,16.42,21.89
AC6001,AC500,2024-04-10,4.12,53,10,4,14.26,9.97
BA5001,BA400,2024-04-10,2.06,180,33,12,6.81,28.23
LH4001,LH301,2024-04-10,9.46,365,68,24,28.64,46.8
AC6001,AC500,2024-04-11,8.13,66,12,5,27.17,4.83
AF1002,AF181,2024-04-11,9.6,132,24,9,29.64,22.76
AF1003,AF182,2024-04-11,8.98,223,41,15,34.16,37.29
AF1004,AF180,2024-04-11,11.24,144,27,10,39.36,1.64
BA5001,BA400,2024-04-11,5.62,103,19,7,21.63,20.08
DL2002,DL100,2024-04-11,7.91,117,22,8,21.78,23.23
LH4001,LH301,2024-04-11,11.15,220,41,14,36.59,36.46
AF1001,AF180,2024-04-12,1.4,70,13,5,3.78,10.68
AF1002,AF181,2024-04-12,5.5,155,29,10,16.36,23.63
AF1003,AF181,2024-04-12,9.15,224,42,14,23.08,34.56
AF1001,AF182,2024-04-13,8.21,119,22,8,26.81,3.59
AF1004,AF181,2024-04-13,7.16,81,15,6,19.78,14.95
AF1001,AF182,2024-04-14,6.4,65,12,5,23.97,6.43
BA5001,BA400,2024-04-15,2.72,172,32,11,10.51,27.59
JL7001,JL600,2024-04-15,2.77,173,32,12,10.69,29.14
DL2002,DL101,2024-04-16,4.38,101,19,7,12.69,16.12
LH4001,LH300,2024-04-16,9.01,364,68,24,28.43,53.33
AF1002,AF182,2024-04-17,10.72,175,32,12,27.0,31.74
BA5001,BA400,2024-04-17,4.79,183,34,12,15.47,26.17
DL2001,DL100,2024-04-17,9.34,149,28,10,31.19,28.2
AF1001,AF180,2024-04-18,1.3,100,18,8,3.98,16.4
BA5001,BA400,2024-04-18,6.23,184,34,13,18.26,27.0
AF1003,AF181,2024-04-19,11.08,227,42,15,31.22,33.49
BA5001,BA400,2024-04-19,7.78,115,21,8,27.38,21.67
JL7001,JL600,2024-04-19,3.52,176,33,12,10.74,27.87
LH4001,LH300,2024-04-19,11.9,324,60,22,33.29,49.88
AC6001,AC500,2024-04-20,10.35,74,13,6,26.12,5.88
AF1001,AF180,2024-04-20,4.72,116,21,8,11.99,16.97
AF1002,AF180,2024-04-20,8.45,214,40,14,30.42,32.78
AF1003,AF181,2024-04-20,10.23,200,37,13,33.37,32.09
IB3001,IB200,2024-04-20,6.71,154,28,11,23.58,17.42
JL7001,JL600,2024-04-20,3.47,145,27,10,10.62,23.17
AC6001,AC500,2024-04-21,8.68,58,10,5,32.71,1.0
AF1004,AF182,2024-04-21,4.23,159,29,11,13.48,21.37
BA5001,BA400,2024-04-21,4.46,188,35,13,12.45,29.76
DL2001,DL101,2024-04-21,6.6,166,31,11,21.35,27.26
JL7001,JL600,2024-04-21,9.85,129,24,9,28.92,22.35
AC6001,AC500,2024-04-22,1.93,70,13,5,5.31,17.42
AF1001,AF180,2024-04-22,3.25,106,19,8,11.85,15.76
DL2002,DL100,2024-04-22,7.73,101,19,7,24.77,18.26
AF1004,AF181,2024-04-23,2.66,97,18,7,8.04,21.01
DL2002,DL101,2024-04-23,3.25,148,27,11,9.7,27.73
IB3001,IB201,2024-04-23,9.08,145,27,10,31.73,9.27
AC6001,AC500,2024-04-24,7.13,93,17,7,18.21,12.91
AF1002,AF182,2024-04-24,11.22,192,36,12,29.66,30.99
AF1004,AF181,2024-04-24,7.17,156,29,10,23.64,17.36
BA5001,BA400,2024-04-24,5.36,114,21,8,20.05,17.65
AF1001,AF180,2024-04-26,2.55,108,20,8,7.45,18.43
AF1004,AF180,2024-04-26,7.5,144,27,9,26.42,14.58
DL2001,DL100,2024-04-26,9.5,102,19,7,32.54,14.41
IB3001,IB200,2024-04-26,6.37,136,25,9,19.46,19.26
AF1001,AF180,2024-04-27,10.57,106,19,8,39.84,1.0
BA5001,BA400,2024-04-27,7.91,192,36,13,24.74,28.06
DL2002,DL101,2024-04-28,4.48,147,27,10,14.72,26.83
AF1002,AF180,2024-04-29,10.13,188,35,12,34.4,32.44
BA5001,BA400,2024-04-29,5.25,144,27,9,20.66,24.46
DL2001,DL101,2024-04-29,6.31,197,37,13,22.27,33.55
JL7001,JL600,2024-04-29,2.65,148,27,11,8.3,27.06
AF1003,AF182,2024-04-30,8.98,215,40,14,28.07,28.97
BA5001,BA400,2024-04-30,4.7,99,18,7,15.67,13.93
AF1001,AF182,2024-05-01,6.36,102,19,7,24.84,5.56
BA5001,BA400,2024-05-01,3.79,180,33,13,13.65,30.61
AF1003,AF182,2024-05-02,4.73,143,26,10,14.45,24.45
AF1004,AF181,2024-05-02,5.4,124,23,8,13.75,17.05
AF1001,AF182,2024-05-03,1.09,101,19,7,3.08,19.29
AF1002,AF182,2024-05-04,9.81,172,32,12,31.87,25.86
DL2001,DL100,2024-05-04,3.11,180,33,13,7.82,32.45
IB3001,IB200,2024-05-04,6.02,156,29,11,20.2,20.8
JL7001,JL600,2024-05-04,5.81,164,30,12,14.7,30.03
LH4001,LH301,2024-05-04,9.63,203,38,13,29.79,27.42
AF1001,AF181,2024-05-05,5.27,84,15,6,20.07,10.33
JL7001,JL600,2024-05-05,9.81,136,25,9,25.03,26.12
AF1001,AF180,2024-05-06,2.6,103,19,7,7.77,15.18
AF1002,AF180,2024-05-06,5.53,222,41,15,16.85,35.32
IB3001,IB201,2024-05-06,1.25,144,27,10,3.36,27.14
AF1001,AF180,2024-05-07,1.06,64,12,4,3.04,12.79
AF1002,AF181,2024-05-07,10.35,222,41,15,29.69,29.91
IB3001,IB201,2024-05-07,6.75,138,25,10,23.4,17.6
AF1001,AF182,2024-05-08,11.77,101,19,7,37.83,1.0
DL2001,DL100,2024-05-08,8.04,152,28,10,28.55,26.29
IB3001,IB200,2024-05-08,7.83,129,24,9,26.5,14.5
AC6001,AC500,2024-05-09,8.02,83,15,6,26.52,5.48
AF1003,AF180,2024-05-09,7.2,180,33,13,28.56,30.34
AF1004,AF180,2024-05-09,5.33,159,29,11,20.16,20.84
BA5001,BA400,2024-05-09,11.38,169,31,12,41.05,26.64
DL2002,DL101,2024-05-09,4.6,150,28,10,15.2,22.43
